"part","design","scenario","k","N","fail_glmmTMB","power_glmmTMB","rho","N_eff","flag_fail","flag_small","unreliable"
"Part 1: power (equal cost)","C = 300","Binomial (rho=0)",3,100,0.597,0.918114143920596,0,300,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 400","Binomial (rho=0)",3,133,0.547,0.975717439293598,0,399,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 200","Binomial (rho=0)",5,40,0.587,0.721549636803874,0,200,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 300","Binomial (rho=0)",5,60,0.562,0.9337899543379,0,300,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 400","Binomial (rho=0)",5,80,0.532,0.976495726495726,0,400,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 200","Binomial (rho=0)",10,20,0.62,0.718421052631579,0,200,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 300","Binomial (rho=0)",10,30,0.546,0.929515418502203,0,300,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 400","Binomial (rho=0)",10,40,0.565,0.972413793103448,0,400,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 200","Binomial (rho=0)",20,10,0.672,0.63719512195122,0,200,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 300","Binomial (rho=0)",20,15,0.649,0.846153846153846,0,300,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 400","Binomial (rho=0)",20,20,0.608,0.987244897959184,0,400,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 200","J-shape (rho=0.048)",1,200,0,0.052,0.0476190476190476,200,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 200","Unimodal (rho=0.024)",1,200,0,0.058,0.024390243902439,200,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 200","Mild-U (rho=0.500)",1,200,0,0.056,0.5,200,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 200","Strong-U (rho=0.833)",1,200,0,0.057,0.833333333333333,200,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 300","J-shape (rho=0.048)",1,300,0,0.048,0.0476190476190476,300,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 300","Unimodal (rho=0.024)",1,300,0,0.045,0.024390243902439,300,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 300","Mild-U (rho=0.500)",1,300,0,0.038,0.5,300,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 300","Strong-U (rho=0.833)",1,300,0,0.04,0.833333333333333,300,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 400","J-shape (rho=0.048)",1,400,0,0.051,0.0476190476190476,400,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 400","Unimodal (rho=0.024)",1,400,0,0.042,0.024390243902439,400,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 400","Mild-U (rho=0.500)",1,400,0,0.056,0.5,400,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 400","Strong-U (rho=0.833)",1,400,0,0.065,0.833333333333333,400,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 200","J-shape (rho=0.048)",3,66,0.325,0.0340740740740741,0.0476190476190476,181,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 200","Unimodal (rho=0.024)",3,66,0.427,0.0191972076788831,0.024390243902439,189,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 200","Mild-U (rho=0.500)",3,66,0.003,0.0531594784353059,0.5,99,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 200","Strong-U (rho=0.833)",3,66,0.001,0.034034034034034,0.833333333333333,74,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 300","J-shape (rho=0.048)",3,100,0.252,0.0307486631016043,0.0476190476190476,274,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 300","Unimodal (rho=0.024)",3,100,0.418,0.0257731958762887,0.024390243902439,286,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 300","Mild-U (rho=0.500)",3,100,0,0.051,0.5,150,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 300","Strong-U (rho=0.833)",3,100,0,0.049,0.833333333333333,112,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 400","J-shape (rho=0.048)",3,133,0.233,0.0338983050847458,0.0476190476190476,364,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 400","Unimodal (rho=0.024)",3,133,0.332,0.0284431137724551,0.024390243902439,380,TRUE,FALSE,TRUE
"Part 2: type I (equal cost)","C = 400","Mild-U (rho=0.500)",3,133,0,0.05,0.5,200,FALSE,FALSE,FALSE
"Part 2: type I (equal cost)","C = 400","Strong-U (rho=0.833)",3,133,0,0.055,0.833333333333333,150,FALSE,FALSE,FALSE
